window_idx,satellite_name,satellite_index,peak_alt_deg,range_min_km,range_max_km,peak_abs_jy,mean_abs_jy,emission_type
0,,770,86.42833207341381,557.021204733235,12574.15092560692,5274104243066718.0,1795157347239.6975,literature_parameterized_uemr_template_not_proprietary_waveform
0,,771,86.30805178077665,557.2775625622959,12574.678562606097,5304773923875076.0,1806527620517.9019,literature_parameterized_uemr_template_not_proprietary_waveform
0,,773,86.30753713633563,557.3215209088725,12574.58174266361,5303589512402326.0,1806052305725.3677,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1392,86.30434966393841,556.7723106766141,13216.852354659071,8.39866374624238e+17,687163127892328.4,literature_parameterized_uemr_template_not_proprietary_waveform
0,,772,86.28885083934436,557.2632176676287,12574.858060431361,5312591577187305.0,1809452167590.158,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1393,86.25586730047691,556.7281431970215,13216.871131020154,8.390299424456188e+17,686208832084894.2,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1394,86.24501016237524,556.7426406630574,13216.861451180375,8.389559808867406e+17,686099552532206.4,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1395,86.24501016237524,556.7426406630574,13216.861451180375,8.389559808867406e+17,686099552532206.4,literature_parameterized_uemr_template_not_proprietary_waveform
0,,769,86.2338829247069,557.0882223466431,12575.667798355702,5335659328133680.0,1818215046884.8093,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1390,86.21617097047493,557.0934281008618,13216.489380328665,8.382690851819889e+17,685295556588363.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1391,86.21617097047493,557.0934281008618,13216.489380328665,8.382690851819889e+17,685295556588363.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1225,85.77417552190421,557.008011651113,13254.644902422577,1.295550062325609e+18,1448739950733113.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1226,85.77417552190421,557.008011651113,13254.644902422577,1.295550062325609e+18,1448739950733113.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1227,85.74283699247617,556.9412845752375,13254.684325888558,1.294874930403649e+18,1447545561911798.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1228,85.74283699247617,556.9412845752375,13254.684325888558,1.294874930403649e+18,1447545561911798.5,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1224,85.59865130043484,557.0678827833143,13254.477191706343,1.2924565304465953e+18,1442592436073360.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1354,83.12763279725904,559.1811323000724,13270.3739918156,1.926777337298207e+18,5141275133341971.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1355,83.11964071665787,559.0968626988565,13270.492213192498,1.9271697107530166e+18,5143067970206163.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1356,83.11964071665787,559.0968626988565,13270.492213192498,1.9271697107530166e+18,5143067970206163.0,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1353,83.10988225897256,559.3824438243511,13270.102070060215,1.9264577273204416e+18,5139181652894560.0,literature_parameterized_uemr_template_not_proprietary_waveform
