window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,5,12,,,2.2501797947107333e-21,3690.6666666666665,2.188997632181924e-22,6.033245140197739e-22
0,5,13,,,2.2481244125295393e-21,3690.6666666666665,2.192482574662449e-22,6.056323263369497e-22
0,5,14,,,2.2481244125295393e-21,3690.6666666666665,2.192482574662449e-22,6.056323263369497e-22
0,5,15,,,2.2416102007871306e-21,3690.6666666666665,2.2089193404134295e-22,6.169689049180698e-22
0,5,16,,,1.51532685697485e-20,-3626.6666666666665,1.0897825554172374e-21,3.122571050146645e-21
0,5,17,,,1.5825551542981583e-20,-3626.6666666666665,1.0721889603289206e-21,3.194370584488084e-21
0,5,18,,,1.5825551542981583e-20,-3626.6666666666665,1.0721889603289206e-21,3.194370584488084e-21
0,5,19,,,1.4603692290935367e-20,-3626.6666666666665,1.098460253676094e-21,3.0662541533231772e-21
0,5,20,,,1.654586115945657e-20,-3626.6666666666665,1.0598792299150502e-21,3.217024559249156e-21
0,5,21,,,1.654586115945657e-20,-3626.6666666666665,1.0598792299150502e-21,3.217024559249156e-21
0,5,22,,,0.9692343228825763,-3631.9999999999995,0.658795665389492,0.7592258691810211
0,5,23,,,0.9692675952414748,-3631.9999999999995,0.6582618883179824,0.7587764569118571
0,5,24,,,0.9692354542528508,-3631.9999999999995,0.6586990555834253,0.7591554401885567
0,5,25,,,0.9692572122012394,-3631.9999999999995,0.658478323086773,0.7589644217392708
0,5,26,,,0.9692572122012394,-3631.9999999999995,0.658478323086773,0.7589644217392708
0,5,27,,,0.9692808142049683,-3631.9999999999995,0.6581719650619214,0.7586994438591887
0,5,28,,,1.8070203402890987e-19,-3626.6666666666665,1.404456382120548e-20,3.873987016550843e-20
0,5,29,,,1.8070203402890987e-19,-3626.6666666666665,1.404456382120548e-20,3.873987016550843e-20
0,5,30,,,1.816908155740625e-19,-3626.6666666666665,1.4751051787849904e-20,3.922794234786388e-20
