window_idx,satellite_name,satellite_index,peak_alt_deg,range_min_km,range_max_km,peak_abs_jy,mean_abs_jy,emission_type
0,,753,68.44039234338354,593.5762112121452,13274.524308213455,0.31405409731349826,0.01041558530308204,literature_parameterized_uemr_template_not_proprietary_waveform
0,,754,68.43073437235132,593.5809614222599,13274.591119116438,0.3139006096492264,0.010418658262180148,literature_parameterized_uemr_template_not_proprietary_waveform
0,,756,68.43039554836159,593.6795426737068,13274.554454311621,0.313942125860102,0.010417801535650405,literature_parameterized_uemr_template_not_proprietary_waveform
0,,755,68.42492547128802,593.6842980081589,13274.586863388256,0.31393268599498697,0.01041835623833835,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1329,66.15631144588023,603.4159148503888,12269.825590550114,0.4990864058781283,0.00982280848049077,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1330,66.15631144588023,603.4159148503888,12269.825590550114,0.4990864058781283,0.00982280848049077,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1331,66.15501710396262,603.4273676086466,12269.915307137062,0.49906164934566755,0.009822936562771062,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1332,66.14949696833395,603.620121644471,12271.227492106113,0.49874245512125576,0.00982448584827491,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1333,66.1481309925489,603.4494115782776,12271.142512115857,0.4987853409329135,0.009824890707258492,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1336,66.14661963395817,603.5412547722137,12270.881053751546,0.49882785839436766,0.009823906745184185,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1334,66.14183552297084,603.4968001643621,12271.20051743812,0.4987704268680702,0.0098249326804752,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1335,66.14183552297084,603.4968001643621,12271.20051743812,0.4987704268680702,0.0098249326804752,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1094,66.12759917461142,601.7200423750255,12043.643719260002,0.3769811310236753,0.0068910459276552115,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1095,66.1212828454106,602.0137370874197,12043.451691167913,0.3770357511790677,0.006889854350429351,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1096,66.12070053762416,602.0041958313844,12043.56300865267,0.37704537484863543,0.006889775982378352,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1092,66.11726435844609,602.3220498359211,12042.204493903439,0.3769246358747177,0.006889481147019802,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1093,66.11726435844609,602.3220498359211,12042.204493903439,0.3769246358747177,0.006889481147019802,literature_parameterized_uemr_template_not_proprietary_waveform
0,,635,66.10378468351648,567.8508477157992,13200.004152888303,0.44508592390162743,0.015892577610030312,literature_parameterized_uemr_template_not_proprietary_waveform
0,,1091,66.10172427506038,602.4586233489407,12044.588135462713,0.37691073792477564,0.006886977981359355,literature_parameterized_uemr_template_not_proprietary_waveform
0,,636,66.09972809748686,567.9031324278079,13199.950357915717,0.445085304707088,0.01589247653944126,literature_parameterized_uemr_template_not_proprietary_waveform
0,,638,66.0991241621557,567.9863195892007,13199.884531073198,0.4451162917103982,0.015891319823305876,literature_parameterized_uemr_template_not_proprietary_waveform
