window_idx,jd,time_sec,alt_deg,az_deg,range_km,range_rate_m_s,tau_s,tau_dot_s_per_s,satellite_name,satellite_index
0,2459861.336478994,0.0,-78.9359108351387,250.51768928355852,12928.916402661871,-1221.3907204946038,4.387804705133385e-08,9.854756491732285e-11,,4118
0,2459861.3365908456,9.663958847522736,-78.64918682652744,249.88691691375638,12917.112933002265,-1239.6045926493825,4.4830406663218435e-08,9.8421801929883e-11,,4118
0,2459861.3367026974,19.327957928180695,-78.36131955190163,249.28494406386596,12904.957375781962,-1276.0179139559623,4.5780339488130664e-08,9.816916715529951e-11,,4118
0,2459861.3368145493,28.991957008838654,-78.07239002469649,248.70979951940188,12892.450061107518,-1312.40155676438,4.672782014549398e-08,9.791431926327276e-11,,4118
0,2459861.3369264007,38.65591585636139,-77.78247196420989,248.15967953215636,12879.591335171157,-1348.7543114828877,4.7672823341715424e-08,9.765726755254244e-11,,4118
0,2459861.3370382525,48.31991493701935,-77.49162893881991,247.6329250326837,12866.381393057765,-1385.0754228179576,4.861533569374435e-08,9.739801684700253e-11,,4118
0,2459861.3371501043,57.98391401767731,-77.19992229743882,247.12802067955187,12852.820599945648,-1421.3636817837832,4.95553320322501e-08,9.713657553024767e-11,,4118
0,2459861.3372619557,67.64787286520004,-76.90740817137159,246.64357444942064,12838.90933707492,-1457.6178801744245,5.049278734944305e-08,9.687295325726107e-11,,4118
0,2459861.3373738076,77.311871945858,-76.61413433969459,246.17830025188718,12824.647821424342,-1493.8372630180093,5.142768838653484e-08,9.660715448944632e-11,,4118
0,2459861.3374856594,86.97587102651596,-76.3201480089752,245.73101951099224,12810.036453202003,-1530.0206230265321,5.236001025378503e-08,9.633918849895754e-11,,4118
0,2459861.337597511,96.6398298740387,-76.02549259152795,245.30064536247596,12795.075648648266,-1566.1667538633337,5.3289728179502364e-08,9.606906316949101e-11,,4118
0,2459861.3377093626,106.30382895469666,-75.7302043827484,244.88616917727597,12779.765646621301,-1602.27490123827,5.421682905401327e-08,9.579678517203792e-11,,4118
0,2459861.3378212145,115.96782803535461,-75.43432025099293,244.48666373453534,12764.10688230321,-1638.3438600422814,5.514128826716749e-08,9.552236390215616e-11,,4118
0,2459861.337933066,125.63178688287735,-75.13787426166408,244.10127076618804,12748.099806872877,-1674.3724263234762,5.6063081295798384e-08,9.524580687945887e-11,,4118
0,2459861.3380449177,135.2957859635353,-74.84089422469064,243.7291903117556,12731.744681042397,-1710.3598468517885,5.698219520419961e-08,9.496712041331623e-11,,4118
0,2459861.3381567695,144.95978504419327,-74.54340933289363,243.36968483893423,12715.041974897735,-1746.3049191617174,5.7898605624532425e-08,9.468631476400789e-11,,4118
0,2459861.3382686214,154.62378412485123,-74.24544543601297,243.02206781433497,12697.992102775743,-1782.2065916546853,5.881229212186014e-08,9.440339633120071e-11,,4118
0,2459861.3383804727,164.28774297237396,-73.94702770378852,242.6857022434432,12680.595562318455,-1818.0636643550824,5.972323050852437e-08,9.411837408411583e-11,,4118
0,2459861.3384923246,173.95174205303192,-73.64817582212062,242.35999107846055,12662.852643318594,-1853.8753860455472,6.063140808491712e-08,9.383125588654673e-11,,4118
0,2459861.3386041764,183.61574113368988,-73.34891159804037,242.044381965933,12644.76386226566,-1889.6405586733017,6.15368008497735e-08,9.354204988244513e-11,,4118
0,2459861.338716028,193.27969998121262,-73.04925537583678,241.7383595513316,12626.329751539166,-1925.3579857916338,6.243938490123838e-08,9.325076502802763e-11,,4118
0,2459861.3388278796,202.94369906187057,-72.74922240888003,241.44143885109952,12607.550622683535,-1961.026918160147,6.333914770124483e-08,9.295740786215119e-11,,4118
0,2459861.3389397315,212.60769814252853,-72.44883045519603,241.15317017600483,12588.427026870675,-1996.646161604789,6.423606550947873e-08,9.266198754008722e-11,,4118
0,2459861.339051583,222.27165699005127,-72.14809614128613,240.8731326776766,12568.959531106633,-2032.214523750823,6.513011470988831e-08,9.236451337032374e-11,,4118
0,2459861.3391634347,231.93565607070923,-71.84703128958132,240.6009287675411,12549.148468624584,-2067.731257730862,6.602128292594763e-08,9.206499281743371e-11,,4118
0,2459861.3392752865,241.5996551513672,-71.54565051246337,240.33618906459506,12528.994425159115,-2103.1951737697236,6.690954672178523e-08,9.176343432432227e-11,,4118
0,2459861.339387138,251.26361399888992,-71.24396753639246,240.07856689363837,12508.498002216958,-2138.6050840924727,6.779488273608709e-08,9.145984638139084e-11,,4118
0,2459861.3394989897,260.9276130795479,-70.94199149557895,239.8277335061953,12487.65955464522,-2173.96024461824,6.867727877250758e-08,9.115423673648949e-11,,4118
0,2459861.3396108416,270.59161216020584,-70.63973452930975,239.58338295911793,12466.479702606202,-2209.2594704768853,6.955671165612611e-08,9.084661525535093e-11,,4118
0,2459861.339722693,280.2555710077286,-70.33720807529534,239.34522735342108,12444.959081966468,-2244.5015790181933,7.043315834249754e-08,9.05369910101658e-11,,4118
0,2459861.339834545,289.91957008838654,-70.03441913702484,239.11299267924198,12423.098069100457,-2279.6858293338446,7.130660679681725e-08,9.022536946089316e-11,,4118
0,2459861.3399463966,299.5835691690445,-69.73137788738205,238.88642356943214,12400.897318448726,-2314.8110419968143,7.217703411754173e-08,8.991176178250653e-11,,4118
0,2459861.340058248,309.24752801656723,-69.42809393758267,238.66527912353152,12378.357500081049,-2349.8760400016326,7.304441755845538e-08,8.959617742015945e-11,,4118
0,2459861.3401701,318.9115270972252,-69.12457258360345,238.44932924573746,12355.479011801575,-2384.8800860113697,7.390874525250769e-08,8.927862179658995e-11,,4118
