window_idx,i,j,satellite_i,satellite_j,peak_coherence,weighted_coherence,peak_delay_ns,min_delta_tau_ns,median_delta_tau_ns,p10_delta_tau_ns,delay_bin_width_ns,fraction_time_delta_tau_lt_bin,fraction_time_delta_tau_lt_half_bin,overlap_duration_same_delay_bin_s,combined_predicted_apparent_flux_jy,mean_pair_alt_deg,mean_pair_inverse_range_km,mean_coherence,p95_coherence
0,0,1,,,0.9999993064373808,0.9999984242764065,-199.8048780487805,1.1015853690878394e-05,0.005307702978352662,0.0008750887292241255,12.487804878048792,1.0,1.0,3604.6716570854187,275.8238928642909,-25.827874087405775,0.0003167119943608824,0.9999209065677758,0.9999975076282507
0,0,2,,,0.9999999395497181,0.9999994994821233,-149.85365853658536,1.205810380379405e-05,0.00254204647686624,0.0008279077285366041,12.487804878048792,1.0,1.0,3604.6716570854187,275.81819696265177,-25.827465125065075,0.0003167088806880125,0.9998090720067758,0.9999975295628698
0,0,3,,,0.9999999826699295,0.9999999015045276,-824.1951219512194,3.516623338688559e-06,0.0007521411156640308,0.00014537136848977376,12.487804878048792,1.0,1.0,3604.6716570854187,275.81689317576814,-25.827257198475742,0.0003167089630783989,0.9999996324878344,0.9999999698702947
0,0,4,,,0.9999998574373311,0.9999976282176398,-174.8292682926829,7.153470460211313e-05,0.002365034818006795,0.001227664391035263,12.487804878048792,1.0,1.0,3604.6716570854187,275.81654322772533,-25.82865545916536,0.00031671239090100305,0.9992461813862111,0.9999919215011408
0,0,5,,,0.004875660286421189,0.002048611285822711,137.36585365853657,3.7716659671678068,250.70989272529746,75.7816303363925,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.87859328680048,-28.8470670308497,0.00029873271481250895,0.0009011024098618889,0.002184778318100199
0,0,6,,,0.004870976748436778,0.002207750653988261,137.36585365853657,3.9089272481116324,250.54263970747164,75.79823380010745,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.842517172238,-28.844338551984933,0.0002987325420774951,0.00092473376541607,0.0022395766376427087
0,0,7,,,0.004875423869067822,0.0018916143767767658,137.36585365853657,3.6082113025167577,250.79120496967099,75.75278449689483,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.8124509652029,-28.846591295772996,0.00029871257055728373,0.0008860887440327676,0.002127680542304954
0,0,8,,,0.004872624444148436,0.001923149393249221,137.36585365853657,3.6304062641306847,250.76293998882153,75.75493606956964,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.80302388708662,-28.84632468930584,0.00029871186104930077,0.0008894407156020771,0.00213733606085499
0,0,9,,,0.004863480086938315,0.0022124267010653668,137.36585365853657,3.8940850348694735,250.51691314891116,75.79125970135776,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.79942225321668,-28.842745201348524,0.0002987247336731873,0.000924597766394861,0.0022412820102856233
0,1,2,,,0.9999988841571419,0.9999970794929306,-199.8048780487805,5.0295169484743316e-05,0.007353545203812291,0.0011355735939814877,12.487804878048792,1.0,1.0,3604.6716570854187,275.8181205278099,-25.828199266669763,0.00031671191899818637,0.9994880531126881,0.999989997535357
0,1,3,,,0.9999995730134462,0.9999988889704478,-199.8048780487805,3.324016953563767e-07,0.004988765123526375,0.0010216660633977693,12.487804878048792,1.0,1.0,3604.6716570854187,275.81681674092624,-25.82799134008043,0.00031671200138857277,0.9999129695166539,0.9999976990365396
0,1,4,,,0.9999991414218568,0.9999959047143133,-187.3170731707317,7.514763123262576e-06,0.00545782738013759,0.0018031635282043086,12.487804878048792,1.0,1.0,3604.6716570854187,275.8164667928835,-25.82938960077005,0.00031671542921117693,0.9986932585532108,0.9999803494095949
0,1,5,,,0.004860676124671517,0.002042984281616193,137.36585365853657,3.763887308179445,250.71672996060826,75.77274110041618,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.87851685195864,-28.84780117245439,0.0002987357531226828,0.0008993623127978255,0.0021759803487490133
0,1,6,,,0.004855075551646826,0.002201152555606374,137.36585365853657,3.9011485891232707,250.5494769427825,75.78934456413114,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.8424407373961,-28.845072693589625,0.000298735580387669,0.000922956183404163,0.0022214152537316767
0,1,7,,,0.004861964136516789,0.0018878983468346992,137.36585365853657,3.600432643528396,250.7980422049818,75.74389526091852,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.812374530361,-28.847325437377684,0.0002987156088674576,0.0008848777099198391,0.002095650387279122
0,1,8,,,0.0048588495659601305,0.0019189951184439243,137.36585365853657,3.622627605142323,250.76977722413238,75.74604683359333,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.80294745224478,-28.84705883091053,0.00029871489935947464,0.0008881410729553639,0.0021053191008669546
0,1,9,,,0.0048475880948707145,0.0022058249198865757,137.36585365853657,3.886306375881112,250.52375038422204,75.78237046538145,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.79934581837483,-28.843479342953216,0.0002987277719833612,0.0009228446324640835,0.0022179260900685137
0,2,3,,,0.9999998354232069,0.9999995070899655,-187.3170731707317,2.178473600009238e-05,0.0023235684855630228,0.0004197835528312005,12.487804878048792,1.0,1.0,3604.6716570854187,275.8111208392871,-25.82758237773973,0.00031670888771570294,0.9998221124205503,0.9999972135835072
0,2,4,,,0.9999998994648784,0.9999990706662458,-187.3170731707317,2.2274018838131654e-06,0.0016719990695114276,0.0001766469489663763,12.487804878048792,1.0,1.0,3604.6716570854187,275.8107708912444,-25.82898063842935,0.0003167123155383071,0.9998114651084034,0.9999980774893231
0,2,5,,,0.004805694705984953,0.002047889961408025,137.36585365853657,3.775216731575496,250.70644113463837,75.78526461749792,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.87282095031952,-28.84739221011369,0.000298732639449813,0.0009065432682527603,0.0022428661325906707
0,2,6,,,0.004802439176896506,0.0022093126359880857,137.36585365853657,3.9124780125193213,250.5391881168126,75.80186808121287,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.83674483575697,-28.844663731248925,0.0002987324667147991,0.0009305264854665937,0.002266429439254156
0,2,7,,,0.004803043535987224,0.0018865685301487074,137.36585365853657,3.611762066924447,250.78775337901192,75.75641877800025,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.8066786287219,-28.846916475036984,0.0002987124951945877,0.0008901827232371844,0.0021843774995499317
0,2,8,,,0.004800762989852397,0.0019190682389811351,137.36585365853657,3.633957028538374,250.75948839816246,75.75857035067506,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.79725155060567,-28.84664986856983,0.00029871178568660476,0.0008937647137795437,0.002191847298973054
0,2,9,,,0.0047949281408218684,0.0022139804297101992,137.36585365853657,3.8976357992771624,250.51346155825215,75.79489398246318,12.487804878048792,0.010723860589812333,0.00804289544235925,38.655996322631836,211.79364991673572,-28.843070380612517,0.0002987246583104913,0.000930377601167558,0.0022713830853347498
