window_idx,satellite_name,satellite_index,peak_alt_deg,range_min_km,range_max_km,peak_abs_jy,mean_abs_jy,predicted_peak_apparent_flux_jy,cap_selection_method,cap_selection_score,emission_type
0,,3449,69.39185305659403,589.5040334749883,12748.230630202186,0.49153376067053445,0.01115325997639366,76.26272653752751,predicted_peak_apparent_flux,76.26272653752751,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3450,69.39185305659403,589.5040334749883,12748.230630202186,0.49153376067053445,0.01115325997639366,76.26272653752751,predicted_peak_apparent_flux,76.26272653752751,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3451,69.3849350225092,589.5334898672065,12748.542082403552,0.4914458630296436,0.011154613489023605,76.24818021937183,predicted_peak_apparent_flux,76.24818021937183,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3453,69.36619692760226,589.5308749042281,12748.97912626206,0.49379195034764284,0.011156223850610629,76.23008862074863,predicted_peak_apparent_flux,76.23008862074863,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3454,69.36619692760226,589.5308749042281,12748.97912626206,0.49379195034764284,0.011156223850610629,76.23008862074863,predicted_peak_apparent_flux,76.23008862074863,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3452,69.36831575856658,589.6404364552577,12748.807573858488,0.4938379089947903,0.01115599393964474,76.20388463597388,predicted_peak_apparent_flux,76.20388463597388,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3487,69.11951221576675,591.5789024189048,12811.518946321821,0.24958737670829426,0.0073394689244601395,75.45652621510598,predicted_peak_apparent_flux,75.45652621510598,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3486,69.12017827602578,591.6569499448575,12811.578356850032,0.24957057468977384,0.007339843898288449,75.43728911615803,predicted_peak_apparent_flux,75.43728911615803,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3489,69.10802532865443,591.6489060844582,12811.590053383074,0.24957070735133946,0.007339507333377299,75.42712973331169,predicted_peak_apparent_flux,75.42712973331169,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3490,69.10802532865443,591.6489060844582,12811.590053383074,0.24957070735133946,0.007339507333377299,75.42712973331169,predicted_peak_apparent_flux,75.42712973331169,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3488,69.10952789934495,591.7178114905544,12811.679557220285,0.24954418997728883,0.007339826866585095,75.41107347739906,predicted_peak_apparent_flux,75.41107347739906,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3110,67.16839803868393,599.6856497391826,13148.234591071925,0.2796096130636029,0.008999182402058815,71.45118513610342,predicted_peak_apparent_flux,71.45118513610342,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3109,67.17061593855168,599.8065453314625,13148.052715779997,0.2796613091621345,0.008998339204852716,71.42471285163961,predicted_peak_apparent_flux,71.42471285163961,literature_parameterized_uemr_template_not_proprietary_waveform
0,,3114,67.17977358877397,599.9422429908277,13147.385009498748,0.27986571428987495,0.008993848592491865,71.40201170720083,predicted_peak_apparent_flux,71.40201170720083,literature_parameterized_uemr_template_not_proprietary_waveform
