window_idx,satellite_name,satellite_index,peak_alt_deg,range_min_km,range_max_km,peak_abs_jy,mean_abs_jy,emission_type
0,,5027,85.8656883989708,538.7064057616651,4866.4138252581515,2.756391854989808,0.008409087268327339,literature_parameterized_uemr_template_not_proprietary_waveform
0,,5026,85.85912150591292,538.693826796984,4866.2905667057885,2.753846805828589,0.008397684841474483,literature_parameterized_uemr_template_not_proprietary_waveform
0,,5025,85.85545862213205,538.70264139283,4866.389246447008,2.7524197483994866,0.008394169892098782,literature_parameterized_uemr_template_not_proprietary_waveform
0,,249,85.48859329404743,557.8323305385194,4537.830567011229,2.460137818311244,0.007531737602791367,literature_parameterized_uemr_template_not_proprietary_waveform
0,,250,85.46617168386771,557.8422074899593,4538.747766974578,2.451215924636391,0.007527387403741,literature_parameterized_uemr_template_not_proprietary_waveform
0,,251,85.44132661678407,557.9303536872076,4539.702276982368,2.4404750011735876,0.00752272349055902,literature_parameterized_uemr_template_not_proprietary_waveform
0,,252,85.38582911152722,557.920145953611,4541.669500327843,2.4184913934451875,0.0075201726676303714,literature_parameterized_uemr_template_not_proprietary_waveform
0,,253,85.36840133013418,557.8929885496037,4542.196088339025,2.41179270752663,0.007518886743643846,literature_parameterized_uemr_template_not_proprietary_waveform
0,,254,85.35372841345462,557.809607990153,4542.725031514331,2.406762890878524,0.007523098405055962,literature_parameterized_uemr_template_not_proprietary_waveform
0,,6116,84.88761162521101,558.1332187039566,5416.292616127835,4.180671794364588,0.011698731204525145,literature_parameterized_uemr_template_not_proprietary_waveform
