window_idx,i,j,satellite_i,satellite_j,peak_coherence,weighted_coherence,peak_delay_ns,min_delta_tau_ns,median_delta_tau_ns,mean_coherence,p95_coherence
0,0,1,,,0.9999985366621306,0.9999969795552959,274.73170731707313,0.0006439117512835856,0.006773533791539272,0.9999950959037213,0.9999977871688279
0,0,2,,,0.9999999227501412,0.9999997475845228,899.1219512195122,0.004936484863667133,0.010627874126112779,0.9999995334509609,0.9999998728412217
0,0,3,,,0.015417954455450775,0.0007831832481779747,2872.1951219512193,0.1283821013608285,9.260755307491387,0.002546680566730796,0.007772362862234591
0,0,4,,,0.016108226528060376,0.0008226243219069274,-2897.1707317073174,0.12417302164698629,9.258291526076427,0.002623698752811478,0.008189989730622542
0,0,5,,,0.017328298137719356,0.000862101388846967,-2897.1707317073174,0.11860598167695954,9.254631859734602,0.0026865794404875706,0.008290565505753144
0,0,6,,,0.018961694097180574,0.0009151649249277774,-2897.1707317073174,0.10604256676378185,9.247948439416131,0.002776280894315421,0.00888073340626207
0,0,7,,,0.01962407637392668,0.0009244633854611204,-2897.1707317073174,0.1028197709741957,9.247633035659039,0.002784820591491393,0.008873633557132544
0,0,8,,,0.019779218886311026,0.0009302282955718865,-2897.1707317073174,0.0967094686164061,9.247437800932598,0.0028536964729209712,0.00908581527539892
0,0,9,,,0.014596288742794701,0.00038392517595919694,-2572.487804878049,5.2242097856164,275.931893146131,0.0017586202261953498,0.005379492463429095
0,1,2,,,0.999999052283326,0.9999981116737815,274.73170731707313,0.00010215604403533044,0.0024771834932755714,0.9999959949001069,0.9999986380077723
0,1,3,,,0.015529246231008218,0.0007811641932897925,2872.1951219512193,0.13601970243609657,9.260380532756454,0.002550153925065519,0.007619862996290593
0,1,4,,,0.016009023608498808,0.0008207507368531159,2872.1951219512193,0.13181062272225436,9.257916751341494,0.0026264652237057606,0.008162986925430701
0,1,5,,,0.017160060631992387,0.0008604401467552491,-2897.1707317073174,0.12624358275222758,9.254257084999669,0.0026895826782813675,0.008311845726604039
0,1,6,,,0.01881858489730822,0.0009142669670184041,-2897.1707317073174,0.1136801678390499,9.247573664681198,0.0027777146805441936,0.008939865063243315
0,1,7,,,0.019490871987853667,0.000923796254218835,-2897.1707317073174,0.11045737204946375,9.247258260924106,0.00278555549643292,0.009014221854332037
0,1,8,,,0.01965603878731747,0.0009297878256666054,-2897.1707317073174,0.10434706969167415,9.247063026197665,0.002855297171089912,0.00907559952254838
0,1,9,,,0.014661408905740142,0.00038466187104851165,-2572.487804878049,5.228345291947144,275.9359055222991,0.0017634774662452705,0.005411358330146213
0,2,3,,,0.015423225617509648,0.0007833500596212994,2872.1951219512193,0.13729836935979975,9.262473701447163,0.002551004556357318,0.007776749607316652
0,2,4,,,0.016122239434722536,0.0008228472207015874,-2897.1707317073174,0.13308928964595754,9.260009920032203,0.002628093066110484,0.00818936634595608
0,2,5,,,0.01734303627993672,0.0008624242891932788,-2897.1707317073174,0.1275222496759308,9.256350253690378,0.0026912612038574196,0.008287716193410167
0,2,6,,,0.01898009777568744,0.0009157637529924502,-2897.1707317073174,0.11495883476275309,9.249666833371908,0.0027811044568346707,0.00889910652885188
0,2,7,,,0.019644447302470395,0.0009251450362115588,-2897.1707317073174,0.11173603897316695,9.249351429614816,0.0027897509416794264,0.008877774133395138
0,2,8,,,0.01980112761596871,0.0009309915376873318,-2897.1707317073174,0.10562573661537734,9.249156194888375,0.002858945584287602,0.009101075325420559
0,2,9,,,0.01459314700918539,0.00038462342604897405,-2572.487804878049,5.232654941030675,275.94661394034136,0.0017601731630380113,0.005355392315492253
