window_idx,jd,time_sec,alt_deg,az_deg,range_km,range_rate_m_s,tau_s,tau_dot_s_per_s,satellite_name,satellite_index
0,2459861.4431855073,0.0,-15.655096905351796,318.5595258306309,4866.4138252581515,-6500.977269211421,1.545215761300688e-07,3.404681407189433e-11,,5027
0,2459861.443297359,9.663999080657959,-15.272610185085579,318.54605359414256,4803.588386905114,-6506.816863951477,1.5485060450995892e-07,3.384945944204963e-11,,5027
0,2459861.4434092105,19.327957928180695,-14.887757674592462,318.5321841599734,4740.650343135209,-6518.383921821922,1.5517581707393672e-07,3.345205952500332e-11,,5027
0,2459861.4435210624,28.991957008838654,-14.50043631880874,318.5179116793057,4677.60133624354,-6529.725293538999,1.5549716449297221e-07,3.304910249399931e-11,,5027
0,2459861.443632914,38.65595608949661,-14.11054219439932,318.5032300313965,4614.44382466779,-6540.837697745621,1.5581459006617386e-07,3.264023239635712e-11,,5027
0,2459861.4437447656,48.31991493701935,-13.71796534570652,318.4881326280175,4551.1803008489005,-6551.717650501756,1.5612803354806782e-07,3.222506013706829e-11,,5027
0,2459861.4438566174,57.98391401767731,-13.32258439258052,318.47261218453065,4487.812501128548,-6562.361579801567,1.5643743465590158e-07,3.1803153496513134e-11,,5027
0,2459861.4439684693,67.64791309833527,-12.924275856403467,318.45666106121973,4424.342988300606,-6572.765533167461,1.5674272484037246e-07,3.137404357078141e-11,,5027
0,2459861.4440803207,77.311871945858,-12.522908789542754,318.44027104368246,4360.7743658454065,-6582.925293955108,1.5704383086748882e-07,3.093721561908596e-11,,5027
0,2459861.4441921725,86.97587102651596,-12.118339137985867,318.4234330872773,4297.10848477088,-6592.836480152531,1.573406780245375e-07,3.049209697069483e-11,,5027
0,2459861.4443040243,96.63987010717392,-11.710419144502946,318.4061376795089,4233.3480344791615,-6602.494262600114,1.576331820616731e-07,3.003806303474252e-11,,5027
0,2459861.4444158757,106.30382895469666,-11.298991718783622,318.38837459234196,4169.495753825705,-6611.89346430992,1.5792125246157013e-07,2.9574424922774104e-11,,5027
0,2459861.4445277276,115.96782803535461,-10.883884491972243,318.37013259516425,4105.553635402462,-6621.0286402798665,1.5820479528347644e-07,2.9100415636764588e-11,,5027
0,2459861.4446395794,125.63182711601257,-10.464919277288493,318.35139983601175,4041.5245244403554,-6629.893804369698,1.5848370524149105e-07,2.861519423275736e-11,,5027
0,2459861.444751431,135.2957859635353,-10.041906108737557,318.3321635601881,3977.4113272344766,-6638.482507479843,1.5875786857347026e-07,2.81178287882426e-11,,5027
0,2459861.4448632826,144.95978504419327,-9.614636901784378,318.31240978490257,3913.216213488899,-6646.787893586821,1.5902716543307715e-07,2.7607279659978674e-11,,5027
0,2459861.4449751345,154.62378412485123,-9.182894935929575,318.29212369571894,3848.942223048574,-6654.802431908931,1.5929146202397725e-07,2.7082399512328032e-11,,5027
0,2459861.445086986,164.28774297237396,-8.746448461819204,318.2712893233438,3784.5924723811286,-6662.517967934313,1.5955061293286358e-07,2.6541911538443673e-11,,5027
0,2459861.4451988377,173.95174205303192,-8.305043848756377,318.24988917025524,3720.1693557642698,-6669.925748772104,1.5980446295145266e-07,2.5984387264947013e-11,,5027
0,2459861.4453106895,183.61574113368988,-7.858415028417461,318.22790461639295,3655.6761597727473,-6677.016154835554,1.600528391221434e-07,2.5408239929293258e-11,,5027
0,2459861.445422541,193.27969998121262,-7.4062765282915715,318.2053155422316,3591.1162687166097,-6683.778714707412,1.6029555236740683e-07,2.4811696203245708e-11,,5027
0,2459861.4455343927,202.94369906187057,-6.948315936761623,318.18209989328284,3526.4923657082377,-6690.202089221508,1.6053239851805648e-07,2.4192762946048406e-11,,5027
0,2459861.4456462446,212.60769814252853,-6.4842032061789885,318.15823408505787,3461.8080550373047,-6696.273793291417,1.6076315004514517e-07,2.3549212319893357e-11,,5027
0,2459861.445758096,222.27165699005127,-6.013582906900618,318.1336925547719,3397.0670677929998,-6701.980160796957,1.609875567294281e-07,2.28785421078315e-11,,5027
0,2459861.445869948,231.93565607070923,-5.536065764410957,318.1084472425283,3332.2724642318262,-6707.306270626403,1.6120534551690794e-07,2.2177925168851738e-11,,5027
0,2459861.4459817996,241.5996551513672,-5.051237653170798,318.0824679789823,3267.4282645269495,-6712.2356434150715,1.6141621162631346e-07,2.1444181415539592e-11,,5027
0,2459861.446093651,251.26361399888992,-4.558650766430007,318.0557219386653,3202.5386563020334,-6716.750134303205,1.6161981778333285e-07,2.0673716047729915e-11,,5027
0,2459861.446205503,260.9276130795479,-4.057813861038258,318.02817300515756,3137.6072003439403,-6720.829774198326,1.6181579230852763e-07,1.9862445691149526e-11,,5027
