window_idx,satellite_name,satellite_index,peak_alt_deg,range_min_km,range_max_km,peak_abs_jy,mean_abs_jy,predicted_peak_apparent_flux_jy,cap_selection_method,cap_selection_score,emission_type
0,,4118,69.48132344757427,438.6280039678484,12928.916402661871,0.4996428015721213,0.013629455062717252,137.9119846495664,predicted_peak_apparent_flux,137.9119846495664,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4121,69.45926794949676,438.5649013586902,12928.96774210827,0.4996329163635863,0.013628722934159692,137.91190821472452,predicted_peak_apparent_flux,137.91190821472452,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4119,69.4786758686094,438.6295974337197,12928.982122477977,0.49961291919604217,0.013629834028139583,137.9062123130854,predicted_peak_apparent_flux,137.9062123130854,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4120,69.47691572096227,438.6266268917951,12928.921238654566,0.49963408049915625,0.013629362642249166,137.90490852620175,predicted_peak_apparent_flux,137.90490852620175,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4122,69.45591520975994,438.566970991529,12929.113869285628,0.49955741622949124,0.013629794617721343,137.90455857815894,predicted_peak_apparent_flux,137.90455857815894,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2943,68.24252025242221,593.9486316020176,13277.72730924278,0.3403688232973529,0.011348620388014234,73.9666086372341,predicted_peak_apparent_flux,73.9666086372341,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2944,68.2470584884457,594.1123083010451,13277.55657380415,0.3404539380051467,0.011347611049117384,73.93053252267158,predicted_peak_apparent_flux,73.93053252267158,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2949,68.25054469648903,594.2475785838689,13277.437926399562,0.34033611261951635,0.011349239826909071,73.9004663156365,predicted_peak_apparent_flux,73.9004663156365,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2948,68.25068668683595,594.2860722191974,13277.42664652584,0.34034867005499364,0.011349273740599925,73.89103923752025,predicted_peak_apparent_flux,73.89103923752025,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2946,68.24797306000352,594.2893264136324,13277.383993867083,0.34047908016463163,0.011346937735439044,73.8874376036503,predicted_peak_apparent_flux,73.8874376036503,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2947,68.24797306000352,594.2893264136324,13277.383993867083,0.34047908016463163,0.011346937735439044,73.8874376036503,predicted_peak_apparent_flux,73.8874376036503,literature_parameterized_uemr_template_not_proprietary_waveform
0,,2945,68.23659446592528,594.311793149309,13277.397446360601,0.3406196760970932,0.01134415357549881,73.87014027306056,predicted_peak_apparent_flux,73.87014027306056,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4364,67.09870576035927,600.2981572887645,13194.056231813423,0.28848018526913566,0.00941784323897623,71.23233288503437,predicted_peak_apparent_flux,71.23233288503437,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4363,67.09898534634998,600.334339333429,13194.045260393603,0.28847874464194523,0.009418142219303708,71.22404046257037,predicted_peak_apparent_flux,71.22404046257037,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4362,67.09514106704736,600.3378730353467,13194.084266342641,0.28846404320336816,0.009418470464141526,71.219164284645,predicted_peak_apparent_flux,71.219164284645,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4359,67.0859235418387,600.3887941501677,13194.201290696297,0.2887010781155695,0.009420125529185861,71.197402286496,predicted_peak_apparent_flux,71.197402286496,literature_parameterized_uemr_template_not_proprietary_waveform
0,,4360,67.0859235418387,600.3887941501677,13194.201290696297,0.2887010781155695,0.009420125529185861,71.197402286496,predicted_peak_apparent_flux,71.197402286496,literature_parameterized_uemr_template_not_proprietary_waveform
