"window_idx","status","start_jd","stop_jd","duration_hours","n_visible_total","n_after_peak_alt_gate","n_used_emitters","max_sats_per_window","truncated_by_cap","peak_alt_min_deg","peak_alt_max_deg","cap_selection_method","selected_pol","polarization_mode","polarization_contrast","polarization_jones_model","polarization_stokes_Q_over_I_mean_abs","n_emitters","interaction_vs_processed_background_db","processed_starlink_survival_vs_raw_starlink_db","interaction_survival_vs_raw_starlink_db","subspace_rank","local_eor_window_residual_vs_processed_background_db","local_peak_delay_bin_excess_db","local_peak_delay_ns","local_top_percentile","local_top_percentile_delay_bin_excess_db","local_null_split_even_residual_power","local_null_split_odd_residual_power","local_null_split_residual_significance","delay_excess_power_coherent_complex_sum","delay_excess_power_incoherent_sum","coherence_amplification_ratio","coherence_amplification_db","phase_randomized_null_trials","phase_randomized_null_ratio_mean","phase_randomized_null_ratio_median","phase_randomized_null_ratio_p95","phase_randomized_null_ratio_p99","observed_exceeds_phase_null_p95","observed_minus_phase_null_median_db","max_single_delay_excess_power","median_single_delay_excess_power","max_pair_peak_coherence","max_pair_weighted_coherence","median_pair_peak_coherence","median_pair_weighted_coherence","min_pair_delta_tau_ns","median_pair_delta_tau_ns","max_pair_fraction_time_delta_tau_lt_bin","median_pair_fraction_time_delta_tau_lt_bin","max_pair_overlap_duration_same_delay_bin_s","case"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","ee","jones_anti_correlated","0.0","True","0.0","50","-17.972602179316425","-27.80373222584035","-27.803732225840353","5","-19.08020544978587","-9.037791682195605","412.0975609756097","95.0","-16.997206220994162","0.29620648553902534","0.2946542839974796","0.0031624559032005866","1.4088897079858154","0.2821927265098797","4.992650680301958","6.983311809310555","128","1.0060486410570655","1.0209004042224228","1.4637910414377915","1.7258637268052233","True","6.89347805157965","0.007656590136255452","0.005468705263090196","1.0000000000000004","1.0000000000000002","0.186325660806842","0.03800065630069299","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_ee_c0p00"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","ee","jones_anti_correlated","0.2","True","0.1400240509156821","50","-17.85924416347918","-27.96136287880257","-27.96136287880257","5","-18.96913319832066","-9.521134717453855","412.0975609756097","95.0","-17.199490169760708","0.30426457229957066","0.30190048646414214","0.004680987868323193","1.491929023639359","0.29298203532658396","5.09222014918533","7.069071710047199","128","0.9983478808916953","0.987173328005367","1.5020005079574053","1.6008197288527741","True","7.125137581654053","0.0079488224533725","0.006715595990592342","1.0000000000000007","1.0000000000000002","0.1975289681011881","0.03958142082938971","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_ee_c0p20"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","ee","jones_anti_correlated","0.35","True","0.24504208910244366","50","-17.68981736859925","-28.096037114982536","-28.096037114982536","5","-18.800113311851447","-9.834175036057884","412.0975609756097","95.0","-17.01155798759405","0.31657032309772265","0.31364946015599116","0.005467889925575129","1.5940990231774441","0.3087476963025392","5.16311228316146","7.129115698326556","128","0.9936036633999041","0.9898901626758783","1.5577447006114604","1.6273484772862754","True","7.173245614877789","0.00952693262197872","0.006817750043444691","1.0000000000000007","1.0000000000000002","0.19251673131950195","0.04129583137830846","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_ee_c0p35"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","ee","jones_anti_correlated","0.5","True","0.35006012728920527","50","-17.456770327448076","-28.234605211199554","-28.234605211199558","5","-18.566455969167215","-10.091223465160317","412.0975609756097","95.0","-16.73520813642427","0.3342436616625113","0.3308107097122847","0.005940719610183676","1.7304608908280403","0.3310907967328604","5.2265448266877","7.182146795763401","128","0.9899270655845489","0.9862926758148713","1.562639204435504","1.7107753539396444","True","7.242088715008829","0.011278666987491807","0.006748077991827789","1.0000000000000007","1.0","0.20955353926225037","0.039640894744469024","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_ee_c0p50"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","nn","jones_anti_correlated","0.0","True","0.0","50","-17.972602179316425","-27.80373222584035","-27.803732225840353","5","-19.08020544978587","-9.037791682195605","412.0975609756097","95.0","-16.997206220994162","0.29620648553902534","0.2946542839974796","0.0031624559032005866","1.4088897079858154","0.2821927265098797","4.992650680301958","6.983311809310555","128","1.0060486410570655","1.0209004042224228","1.4637910414377915","1.7258637268052233","True","6.89347805157965","0.007656590136255452","0.005468705263090196","1.0000000000000004","1.0000000000000002","0.186325660806842","0.03800065630069299","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_nn_c0p00"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","nn","jones_anti_correlated","0.2","True","0.1400240509156821","50","-17.9485382954246","-27.690475374199593","-27.690475374199593","5","-19.051944235893245","-8.50360861154904","412.0975609756097","95.0","-16.931135002963583","0.29769077703027896","0.29702990528982987","0.0013085903968032724","1.3866359356434008","0.2830966433898261","4.8981009419246035","6.900277309865565","128","1.01458867199536","1.0041286682272728","1.4554173112970414","1.8507657302867375","True","6.8823836447163425","0.008412824473429956","0.005508360221931704","1.0000000000000007","1.0000000000000002","0.1857968392279765","0.04310380976570666","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_nn_c0p20"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","nn","jones_anti_correlated","0.35","True","0.24504208910244366","50","-17.841175997233155","-27.643279349176062","-27.643279349176062","5","-18.940422754084466","-8.083231105103701","412.0975609756097","95.0","-16.596656207549486","0.3050661813764626","0.3051259431009448","0.00011216348984374815","1.409836119184518","0.29144826041321303","4.837346145712668","6.84607165286795","128","1.0209290151978168","1.0105366680284582","1.502993565235427","1.9421586977067091","True","6.800550884710999","0.009234690532779349","0.005159396216046448","1.0000000000000007","1.0000000000000002","0.18571080193086179","0.047380391040303824","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_nn_c0p35"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","nn","jones_anti_correlated","0.5","True","0.35006012728920527","50","-17.66298930899099","-27.63002200702224","-27.630022007022234","5","-18.757504610660764","-7.654330529460238","412.0975609756097","95.0","-16.383748890992752","0.3178091734892826","0.31863425677650425","0.0014392328149956815","1.4672281708381447","0.3063773168909659","4.788958222257375","6.8024104837645","128","1.0267645706707302","0.9992171560521683","1.5901565308633594","2.021937326812422","True","6.805811663302022","0.011021712487428717","0.00486759647493585","1.0000000000000007","1.0000000000000002","0.20147552243408268","0.052120684735524406","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","anti_correlated_nn_c0p50"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","ee","jones_unpolarized","","True","0.0","50","-17.972602179316425","-27.80373222584035","-27.803732225840353","5","-19.08020544978587","-9.037791682195605","412.0975609756097","95.0","-16.997206220994162","0.29620648553902534","0.2946542839974796","0.0031624559032005866","1.4088897079858154","0.2821927265098797","4.992650680301958","6.983311809310555","128","1.0060486410570655","1.0209004042224228","1.4637910414377915","1.7258637268052233","True","6.89347805157965","0.007656590136255452","0.005468705263090196","1.0000000000000004","1.0000000000000002","0.186325660806842","0.03800065630069299","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","unpolarized_ee"
"0","ok","2459861.2947583133","2459861.3363671424","0.9986118972301483","889","243","50","50","True","35.0","70.0","predicted_peak_apparent_flux","nn","jones_unpolarized","","True","0.0","50","-17.972602179316425","-27.80373222584035","-27.803732225840353","5","-19.08020544978587","-9.037791682195605","412.0975609756097","95.0","-16.997206220994162","0.29620648553902534","0.2946542839974796","0.0031624559032005866","1.4088897079858154","0.2821927265098797","4.992650680301958","6.983311809310555","128","1.0060486410570655","1.0209004042224228","1.4637910414377915","1.7258637268052233","True","6.89347805157965","0.007656590136255452","0.005468705263090196","1.0000000000000004","1.0000000000000002","0.186325660806842","0.03800065630069299","0.0","72.93370177361514","1.0","0.02680965147453083","3604.6716570854187","unpolarized_nn"
